source_file_id,model,model_type,model_format,framework,engine_family,engine_variant,hardware,operating_system,os_distribution,threads,evaluator,total_images,evaluation_time_s,top1_pct,top5_pct,latency_ms
S001,alexnet,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,1494.27,55.1,76.3,1080.05
S001,googlenet,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,2655.0,67.3,88.1,2252.97
S001,resnet50,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,5640.06,70.6,89.6,4846.89
S001,resnet18,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,2081.91
S001,squeezenet_v1_1,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,794.05,56.0,78.6,614.26
S001,mobilenet_v2,caffe,Float32,OpenCV 4.1.1,OpenCV,OpenCV 4.1.1,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,1403.55,69.5,89.5,1178.59
S001,alexnet,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,7972.77,55.1,76.3,1339.8
S001,vgg16,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,4263.65
S001,googlenet,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,3667.72,67.3,88.1,896.79
S001,resnet50,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,9361.62,70.6,89.6,1943.56
S001,resnet18,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,950.64
S001,squeezenet_v1_1,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,1164.68,56.1,78.6,247.37
S001,mobilenet_v2,caffe,Float32,NCNN commit 9593783,NCNN,NCNN commit 9593783,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,2032.99,69.5,89.5,602.46
S001,alexnet,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,571.25,55.1,76.3,4053.9
S001,resnet50,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,3109.72,70.6,89.6,1727.84
S001,resnet18,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,674.09
S001,squeezenet_v1_1,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,404.74,56.0,78.6,2068.72
S001,mobilenet_v2,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,556.02,69.5,89.5,286.95
S001,shufflenet_v2,caffe,Float32,MNN 0.2.1.5,MNN,MNN 0.2.1.5,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,45.84
S001,alexnet,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,445.07,55.1,76.3,561.12
S001,googlenet,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,577.0,67.3,88.1,958.04
S001,resnet50,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,1494.79,70.6,89.6,2242.19
S001,resnet18,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,1058.92
S001,squeezenet_v1_1,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,164.33,56.0,78.6,242.24
S001,mobilenet_v2,caffe,Float32,Tengine v1.9.0,Tengine,Tengine v1.9.0,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,ilsvrc2012,1000.0,230.49,69.5,89.5,315.85
S001,alexnet,caffe,Float32,Caffe-SSD,Caffe-SSD,Caffe-SSD,Raspberry Pi 3 Model B Plus Rev 1.3,Debian-aarch64,Debian GNU/Linux 10 (buster) aarch64,1,,,,,,1570.14
