source_file_id,device,operating_system,workload_group,framework,engine_family,engine_variant,hardware,os_distribution,os_kernel,os_release,cpu_model,cpu_count,threads,model,latency_ms,latency_std_ms
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,alexnet,200.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,googlenet,345.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,resnet50,596.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,squeezenet_v1_1,95.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,mobilenet_v2,85.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,ARM Compute Library v20.02.1,ARM Compute Library,ARM Compute Library,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,shufflenet_v2,133.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,Caffe-SSD,Caffe-SSD,Caffe-SSD,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,alexnet,407.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,Caffe-SSD,Caffe-SSD,Caffe-SSD,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,googlenet,583.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,Caffe-SSD,Caffe-SSD,Caffe-SSD,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,resnet50,1255.0,
S003,nvidia-jetson-nano,Ubuntu-aarch64,reference,Caffe-SSD,Caffe-SSD,Caffe-SSD,NVIDIA Jetson Nano Developer Kit,Ubuntu 18.04.4 LTS aarch64,4.9.140-tegra,18.04,Cortex-A57,4.0,1,squeezenet_v1_1,157.0,
