"source_file_id","device","model","input_size","engine_family","cpu_config","metric","latency_ms","memory_mb"
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","126.69",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","82.45",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","154.03",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","97.64",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","223.89",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","138.3",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","348.32",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","206.07",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","576.34",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","315.54",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","NCNN","1 CPU","latency","1204.73",""
"S001","jetson-nano","mobile0.25mod4lite","320x320","TENGINE","1 CPU","latency","587.64",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","432.92",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","309.85",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","536.28",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","379.89",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","824.35",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","564.2",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","1391.19",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","840.03",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","2316.47",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","1270.15",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","NCNN","1 CPU","latency","4897.94",""
"S001","jetson-nano","mobile0.25mod4lite","640x640","TENGINE","1 CPU","latency","2336.78",""
"S001","jetson-nano","mobile0.25mod4lite","1024x1024","NCNN","1 CPU","latency","1259.86",""
"S001","jetson-nano","mobile0.25mod4lite","1024x1024","TENGINE","1 CPU","latency","859.83",""
"S001","jetson-nano","mobile0.25mod4lite","1024x1024","NCNN","1 CPU","latency","1438.09",""
"S001","jetson-nano","mobile0.25mod4lite","1024x1024","TENGINE","1 CPU","latency","1059.59",""
"S001","jetson-nano","mobile0.25mod4lite","1024x1024","NCNN","1 CPU","latency","2176.88",""
