source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,alexnet,233.0,61.1,0.71,1,293.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,alexnet,233.0,61.1,0.71,2,180.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,alexnet,233.0,61.1,0.71,3,147.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,alexnet,233.0,61.1,0.71,4,139.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet121,30.75,7.978,2.86,1,835.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet121,30.75,7.978,2.86,2,454.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet121,30.75,7.978,2.86,3,372.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet121,30.75,7.978,2.86,4,300.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet161,110.2,28.68,7.78,1,2419.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet161,110.2,28.68,7.78,2,1345.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet161,110.2,28.68,7.78,3,985.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,densenet161,110.2,28.68,7.78,4,963.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,1,291.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,2,159.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,3,119.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,4,111.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,1,419.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,2,230.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,3,173.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,4,166.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,1,487.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,2,266.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,3,201.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,4,185.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,1,663.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,2,361.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,3,272.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,4,254.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,1,1015.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,2,557.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,3,421.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,4,401.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,1,1479.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,2,812.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,3,627.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,4,589.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,1,2016.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,2,1093.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,3,834.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,4,785.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,1,2805.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,2,1537.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,3,1173.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,4,1152.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,googlenet,49.66,6.624,1.5,1,447.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,googlenet,49.66,6.624,1.5,2,240.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,googlenet,49.66,6.624,1.5,3,184.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,googlenet,49.66,6.624,1.5,4,161.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,1,133.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,2,79.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,3,64.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,4,65.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,1,134.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,2,77.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,3,61.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,4,57.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,1,104.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,2,63.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,3,53.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,4,50.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,1,31.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,2,19.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,3,17.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,4,17.0
